"travis_id";"ght_id";"watchers";"slug";"lang";"created_at";"last_build_finished_at";"order";"project_found";"log_found";"travis_present";"first_t_commit";"last_t_commit";"active";"last_build_duration";"yml_contribs";"yml_commits";"job_count";"repo_id";"build_id";"last_build";"commits";"contribs";"last_commit";"build_count";"first_build";"yml_deleted";"travis_abandoned";"builds_period";"travis_period";"pushes";"PRs";"project_age";"abandoned";"commit_time_after_last_build";"abandoned_and_alive"
6997;204673;6;"satococoa/nipoo";"JavaScript";2012-02-03;"2012-02-12";89890;1;1;1;"2012-02-05";"2012-02-06";1;302;1;2;2;6997;665048;2012-02-12;98;3;2012-02-12;24;2012-02-05;0;0;7;1;24;0;2230;0;0;FALSE
7004;807817;16;"panthomakos/sham";"Ruby";2010-12-03;"2012-07-10";58700;1;1;1;"2012-02-05";"2012-02-05";1;185;1;1;7;7004;1828430;2012-07-10;46;1;2012-07-10;17;2012-02-05;0;0;156;0;17;0;2657;0;0;FALSE
7012;48714;165;"searls/jasmine-fixture";"JavaScript";2011-01-07;"2016-01-15";15671;1;1;1;"2012-02-05";"2016-01-15";1;60;1;6;1;7012;102680212;2016-01-15;152;12;2016-01-15;96;2012-02-05;0;0;1440;1440;72;24;2622;0;0;FALSE
7017;30259;46;"serby/compact";"JavaScript";2012-02-04;"2012-11-03";34427;1;1;1;"2012-02-05";"2012-08-29";1;21;1;3;1;7017;3041113;2012-11-03;61;4;2012-11-03;33;2012-02-05;0;0;272;206;33;0;2229;0;0;FALSE
7018;237749;42;"lstrojny/Procrastinator";"PHP";2012-02-05;"2017-03-04";36204;1;1;1;"2012-02-06";"2017-02-26";1;1339;2;19;20;7018;207777841;2017-03-04;65;3;2017-02-26;497;2012-02-05;0;0;1854;1847;51;1;2228;0;-6;FALSE
7089;218847;20;"gmassanek/codemarks";"Ruby";2011-11-01;"2015-10-10";52707;1;1;1;"2012-02-24";"2015-03-28";1;223;3;25;1;7089;84691913;2015-10-10;2966;10;2015-10-10;1336;2012-02-11;0;0;1337;1128;1034;302;2324;0;0;FALSE
7387;1423757;2;"jaredhanson/passport-geoloqi";"JavaScript";2012-01-12;"2013-01-25";133418;1;1;1;"2012-02-10";"2013-01-24";1;38;1;2;3;7387;4370186;2013-01-25;9;1;2013-01-24;4;2012-02-11;0;0;349;349;4;0;2252;0;-1;FALSE
7399;5239559;1;"vidibus/vidibus-words";"Ruby";2010-11-16;"2014-09-16";163931;1;1;1;"2012-02-11";"2013-09-17";1;34;1;3;1;7399;35435401;2014-09-16;40;3;2014-09-16;14;2012-02-11;0;0;948;584;13;1;2674;0;0;FALSE
7407;97474;1;"noisebleed/SmartyBundle";"PHP";2011-11-25;"2014-11-26";180132;1;1;1;"2012-02-11";"2016-09-26";0;1558;5;25;15;7407;42147429;2014-11-26;296;13;2016-09-26;154;2012-02-11;0;1;1019;1689;154;0;2300;1;670;TRUE
7432;507038;47;"emboss/krypt";"Ruby";2011-12-05;"2012-11-22";34058;1;1;1;"2012-02-12";"2014-03-28";0;369;3;5;5;7432;3318110;2012-11-22;252;8;2014-05-07;112;2012-02-12;0;1;284;775;112;0;2290;1;531;TRUE
7433;729430;14;"jakzal/behat-from-scratch";"PHP";2012-02-11;"2015-06-04";62495;1;1;1;"2013-03-18";"2014-05-21";1;82;1;2;2;7433;65417966;2015-06-04;67;1;2014-11-18;59;2012-02-12;0;0;1208;429;59;0;2222;0;-198;FALSE
7448;99692;107;"fent/clusterhub";"JavaScript";2012-02-12;"2017-03-01";21007;1;1;1;"2012-02-11";"2017-03-01";1;283;1;11;5;7448;206599854;2017-03-01;72;5;2017-03-01;55;2012-02-14;0;0;1842;1845;51;4;2221;0;0;FALSE
7456;115539;32;"iain/metrical";"Ruby";2010-04-22;"2013-07-01";41603;1;1;1;"2012-02-12";"2012-02-12";1;252;1;2;4;7456;8633357;2013-07-01;52;4;2012-04-26;14;2012-02-12;0;0;505;0;13;1;2882;0;-431;FALSE
7497;55490;63;"sonata-project/SonataBlockBundle";"PHP";2012-02-10;"2017-03-15";28975;1;1;1;"2012-02-10";"2017-02-01";1;2286;11;44;20;7497;211363242;2017-03-15;630;65;2017-03-07;1035;2012-02-12;0;0;1858;1818;512;523;2223;0;-8;FALSE
7570;37103;359;"winton/stasis";"Ruby";2011-03-08;"2016-01-14";8699;1;1;1;"2012-02-13";"2013-11-20";1;255;1;2;3;7570;102272899;2016-01-14;267;17;2013-11-25;69;2012-02-14;0;0;1430;646;48;21;2562;0;-780;FALSE
7582;309329;22;"jordansissel/ruby-ftw";"Ruby";2012-01-27;"2014-05-01";50306;1;1;1;"2012-02-09";"2012-03-15";0;114;1;4;2;7582;24171717;2014-05-01;296;12;2017-01-05;118;2012-02-14;0;1;807;35;110;8;2237;1;980;TRUE
7600;20787;357;"codegram/pelusa";"Ruby";2012-02-14;"2015-01-07";8757;1;1;1;"2012-02-14";"2014-05-15";1;136;2;3;1;7600;46167592;2015-01-07;120;15;2015-01-07;56;2012-02-14;0;0;1058;821;45;11;2219;0;0;FALSE
7717;398402;15;"kamui/heroku_cloud_backup";"Ruby";2011-04-29;"2015-01-30";60474;1;1;1;"2012-02-29";"2015-01-29";1;945;2;4;7;7717;48854141;2015-01-30;49;3;2015-01-29;21;2012-02-29;0;0;1066;1065;20;1;2510;0;-1;FALSE
7782;547196;15;"rap1ds/dippa";"JavaScript";2011-12-25;"2012-09-09";60500;1;1;1;"2012-04-21";"2012-04-21";0;33;1;1;1;7782;2387838;2012-09-09;233;2;2016-08-26;59;2012-02-18;0;1;204;0;59;0;2270;1;1447;TRUE
