probability type
0.016899238280660263 All
0.01646682530811298 All
0.021313794500052288 All
0.018197575455056774 All
0.016107604186538182 All
0.016117662944381543 All
0.01603432714430017 All
0.01611553522980614 All
0.020146109584943672 All
0.016191804348110447 All
0.016192286827652533 All
0.025277033766111866 All
0.021736200979139596 All
0.03815399465276191 All
0.01668989695709518 All
0.016196786605910802 All
0.01610482969538314 All
0.317157021033603 All
0.016260886303457373 All
0.016116036203699998 All
0.016101151433545045 All
0.017971893742590925 All
0.022804251266494838 All
0.021302186790475672 All
0.016101319043025048 All
0.01603432714430017 All
0.016107975305985327 All
0.018047818460525087 All
0.01672306123830634 All
0.01623144808491375 All
0.016095110380974116 All
0.016124863277622775 All
0.01603432714430017 All
0.016761900424245278 All
0.016092678377629364 All
0.016156112584729158 All
0.016190798132226562 All
0.01619448626591031 All
0.041891775071913114 All
0.017376330031926027 All
0.02338436448435992 All
0.054402565069900176 All
0.016124819722262543 All
0.016048155390842034 All
0.021435606168938907 All
0.01611930143237867 All
0.016151169633327436 All
0.01612279970161121 All
0.02289244655700364 All
0.06855475773879498 All
0.016995027897531163 All
0.01609161989062216 All
0.02046498676178358 All
0.01629129399985552 All
0.01603432714430017 All
0.016137846136054027 All
0.016148044194765124 All
0.01603432714430017 All
0.016135533190320517 All
0.016132412240539035 All
0.2825405507029121 All
0.0161017375849995 All
0.016949797334641713 All
0.016684220222822222 All
0.016178500579932458 All
