['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/nielx/rust/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/alexcrichton/rust/pull/7', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/alexcrichton/rust/pull/6', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/alexcrichton/rust/pull/5', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/alexcrichton/rust/pull/4', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/alexcrichton/rust/pull/3', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/alexcrichton/rust/pull/2', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/alexcrichton/rust/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/steveklabnik/rust/pull/7', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/steveklabnik/rust/pull/6', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/steveklabnik/rust/pull/5', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/steveklabnik/rust/pull/4', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/steveklabnik/rust/pull/3', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/steveklabnik/rust/pull/2', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/steveklabnik/rust/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/brson/rust/pull/35', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/brson/rust/pull/34', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
