['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/50', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/49', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/48', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/47', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/46', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/45', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/44', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/43', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/42', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/41', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/40', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
