['https://github.com/kevin-verschaeve/symfony/pull/1', 'https://github.com/yethee/symfony/pull/1', [0.11470925579136655, 0.0, 0, 0.0, 0.0, 0, 0, 1.0], 0.034708012007157577, False]
['https://github.com/kevin-verschaeve/symfony/pull/1', 'https://github.com/vicb/symfony/pull/1', [0.0, 0.0027138603782995967, 0, 0, 0.0, -1, 0, 0], 0.022762644553773123, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/17', [0.0, 0.0913044861444179, 0, 0.0, 0.0, 0, 0, 0], 0.02570916877721636, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/16', [0.011838561461241107, 0.0913044861444179, 0, 0, 0.0, 0, 0, 1.0], 0.031473030024979816, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/15', [0.005234891006782063, 0.15101533582266177, 0, 0.0, 0.0, 0, 0, 1.0], 0.03464683113025411, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/14', [0.01585820343291011, 0.07139938488774786, 0, 0.0, 0.0, 0, 0, 1.0], 0.030653332317711196, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/13', [0.006270840820937399, 0.059324598420943696, 0, 0.0, 0.0, 0, 0, 1.0], 0.02930860716657201, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/11', [0.0, 0.05341406458239713, 0, 0.0, 0.0, 0, 0, 0], 0.024388772453637658, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/10', [0.0, 0.16824865972833558, 0, 0.0, 0.0, 0, 0, 0], 0.02881409637049345, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/9', [0.0, 0.03648791790501583, 0, 0.0, 0.0, 0, 0, 0], 0.023839024375756218, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/8', [0.0, 0.05515566466144828, 0, 0.0, 0.0, 0, 0, 0], 0.024446703941678544, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/7', [0.0, 0.05892656644763592, 0, 0.0, 0.0, 0, 0, 0], 0.02457302520207641, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/6', [0.0, 0.09242747332411629, 0, 0.0, 0.0, 0, 0, 0], 0.025750279010442613, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/5', [0.0, 0.10012645420008764, 0.0, 0.3333333333333333, 0.0, 0, 1, 0], 0.03669659572529181, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/4', [0.003918330310885306, 0.07618590182116859, 0, 0.0, 0.0, 0, 0, 1.0], 0.03003836824796129, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/3', [0.0, 0.06607600017740742, 0, 0.0, 0.0, 0, 0, 0], 0.024815893155843184, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/2', [0.003807004258805142, 0.0, 0, 0.0, 0.0, 0, 0, 1.0], 0.026286577170384007, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
