['https://github.com/magicien/react-native/pull/1', 'https://github.com/skillz/react-native/pull/16', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/skillz/react-native/pull/15', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/skillz/react-native/pull/13', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/skillz/react-native/pull/12', [0.03885506584694294, 0.0, 0, 0.0, 0.0, 0, 0, 1.0], 0.028635805594175636, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/skillz/react-native/pull/11', [0.0, 0.005088386827138618, 0, 0.0, 0.0, 0, 0, 0], 0.02288054538758271, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/skillz/react-native/pull/10', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/skillz/react-native/pull/6', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/skillz/react-native/pull/2', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/skillz/react-native/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/skevy/react-native/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/mashihua/react-native-appletv/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/CHANOMA/react-native/pull/3', [0.1287200549120243, 0.14026526105567094, 0, 0.0, 0.0, 0, 0, 1.0], 0.046239278565321625, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/CHANOMA/react-native/pull/2', [0.20160798028302393, 0.0, 0, 0.0, 0.0, 0, 0, 1.0], 0.043722748656072924, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/CHANOMA/react-native/pull/1', [0.13480461072612449, 0.06127718894038361, 0, 0.0, 0.0, 0, 0, 1.0], 0.04066056735068937, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/CHANOMA/react-native/pull/4', [0.0, 0.09784715879038818, 0, 0.0, 0.0, 0, 0, 0], 0.025950338252913274, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/tepamid/react-native/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/thoblr/react-native/pull/5', [0.0, 0.0, 0.009724473257698542, 0.3333333333333333, 0.14450867052023122, 0, 1, 0], 0.0392797742173948, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/thoblr/react-native/pull/4', [0.0, 0.0, 0.01935483870967742, 0.5, 0.3050847457627119, 0, 1, 0], 0.07515843510915503, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/thoblr/react-native/pull/3', [0.0, 0.0, 0.01935483870967742, 0.5, 0.3050847457627119, 0, 1, 0], 0.07515843510915503, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/thoblr/react-native/pull/2', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/thoblr/react-native/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/whereat/react-native/pull/1', [0.05301260367963275, 0.03381535225507831, 0, 0.0, 0.0, 0, 0, 1.0], 0.03142949402139017, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/trabian/react-native/pull/9', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/trabian/react-native/pull/6', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/trabian/react-native/pull/5', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/trabian/react-native/pull/3', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/trabian/react-native/pull/2', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/trabian/react-native/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/trabian/react-native/pull/8', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/trabian/react-native/pull/7', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/trabian/react-native/pull/4', [0.12359820503733962, 0.0, 0, 0.0, 0.0, 0, 0, 1.0], 0.03552010531085672, False]
['https://github.com/stephenzl/react-native/pull/1', 'https://github.com/CaribouBot/react-native/pull/3', [0.06184069425864867, 0.05347095105409685, 0, 0.0, 0.0, 0, 0, 1.0], 0.03325897745210852, False]
