,,,,,,title,desc,code,file_list,location,pattern,,
facebook/react,2083,1424,0.8751,1,N/A,0.75,-0.0146,0,0,0,0,https://www.github.com/facebook/react/pull/2083,https://www.github.com/facebook/react/pull/1424
facebook/react,12267,5978,0.871,1,N/A,0.7342,0.0268,0,0,0,0,https://www.github.com/facebook/react/pull/12267,https://www.github.com/facebook/react/pull/5978
facebook/react,10179,9420,0.864,1,N/A,0.6565,0.2978,0,0,0,0,https://www.github.com/facebook/react/pull/10179,https://www.github.com/facebook/react/pull/9420
facebook/react,10716,5373,0.8637,1,N/A,0.7367,-0.0108,0,0,0,0,https://www.github.com/facebook/react/pull/10716,https://www.github.com/facebook/react/pull/5373
facebook/react,8911,1982,0.8619,1,N/A,0.7319,0,0,0,0,0,https://www.github.com/facebook/react/pull/8911,https://www.github.com/facebook/react/pull/1982
facebook/react,11813,11792,0.8569,1,N/A,0.5899,0.0301,0.1197,0.2,0,0,https://www.github.com/facebook/react/pull/11813,https://www.github.com/facebook/react/pull/11792
facebook/react,3427,877,0.8555,1,N/A,0.3065,0.0543,0.6667,0.1111,0,-1,https://www.github.com/facebook/react/pull/3427,https://www.github.com/facebook/react/pull/877
facebook/react,5736,4013,0.8514,1,N/A,0.7215,0.0001,0,0,0,0,https://www.github.com/facebook/react/pull/5736,https://www.github.com/facebook/react/pull/4013
facebook/react,7129,4122,0.8473,1,N/A,0.7174,0.0011,0,0,0,0,https://www.github.com/facebook/react/pull/7129,https://www.github.com/facebook/react/pull/4122
facebook/react,10570,8939,0.8428,1,N/A,0.7135,0,0,0,0,0,https://www.github.com/facebook/react/pull/10570,https://www.github.com/facebook/react/pull/8939
facebook/react,8037,7286,0.842,1,N/A,0.3938,0,0,1,0,0,https://www.github.com/facebook/react/pull/8037,https://www.github.com/facebook/react/pull/7286
facebook/react,9912,8291,0.8403,1,N/A,0.0546,-0.0077,0,1,1,0,https://www.github.com/facebook/react/pull/9912,https://www.github.com/facebook/react/pull/8291
facebook/react,3815,1865,0.8393,1,N/A,0.6728,0.1416,0,0,0,0,https://www.github.com/facebook/react/pull/3815,https://www.github.com/facebook/react/pull/1865
facebook/react,8003,7864,0.8333,1,N/A,0.4046,0,0.2228,0.0169,0.9251,0,https://www.github.com/facebook/react/pull/8003,https://www.github.com/facebook/react/pull/7864
facebook/react,109,59,0.828,1,N/A,-0.0027,0.1162,0,1,1,0,https://www.github.com/facebook/react/pull/109,https://www.github.com/facebook/react/pull/59
facebook/react,13160,12505,0.8193,1,N/A,0.6544,0.1478,0,0,0,0,https://www.github.com/facebook/react/pull/13160,https://www.github.com/facebook/react/pull/12505
facebook/react,10834,6673,0.8077,1,N/A,0.0029,0.0623,0.7957,0.002,1,0,https://www.github.com/facebook/react/pull/10834,https://www.github.com/facebook/react/pull/6673
facebook/react,7748,6829,0.8039,1,N/A,0.6139,0.2596,0,0,0,0,https://www.github.com/facebook/react/pull/7748,https://www.github.com/facebook/react/pull/6829
facebook/react,12778,12745,0.802,1,N/A,0.0955,0.022,0.6476,0.0323,1,0,https://www.github.com/facebook/react/pull/12778,https://www.github.com/facebook/react/pull/12745
